SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013
4000,Arizona,1400,      Administrative and support and waste management and remediation services,6547306,6724745,7080847,7686376
4000,Arizona,1401,        Administrative and support services,6286714,6462245,6820157,7402867
4000,Arizona,1402,        Waste management and remediation services,260592,262500,260690,283509
4000,Arizona,1500,      Educational services,2041463,2163851,2320631,2301153
4000,Arizona,1600,      Health care and social assistance,14218012,14768859,15368195,15814368
4000,Arizona,1601,        Ambulatory health care services,7430636,7809977,8128518,8370776
4000,Arizona,1602,        Hospitals,4580643,4709132,4880391,4991581
4000,Arizona,1603,        Nursing and residential care facilities,1228564,1282731,1345898,1404213
4000,Arizona,1604,        Social assistance,978169,967019,1013388,1047798
4000,Arizona,1700,"      Arts, entertainment, and recreation",1227171,1227848,1332510,1369467
4000,Arizona,1701,"        Performing arts, spectator sports, and related industries",643232,628830,695465,711622
4000,Arizona,1702,"        Museums, historical sites, and similar institutions",57818,64591,67511,69947
4000,Arizona,1703,"        Amusement, gambling, and recreation industries",526121,534427,569534,587898
4000,Arizona,1800,      Accommodation and food services,4413989,4620598,4899109,5150282
4000,Arizona,1801,        Accommodation,1239791,1292898,1331138,1370661
4000,Arizona,1802,        Food services and drinking places,3174198,3327700,3567971,3779621
4000,Arizona,1900,      Other services (except government and government enterprises),2967749,3092229,3271512,3411775
4000,Arizona,1901,        Repair and maintenance,800872,868546,912793,961033
4000,Arizona,1902,        Personal and laundry services,573020,585569,608652,626996
4000,Arizona,1903,"        Religious, grantmaking, civic, professional, and similar organizations",1306920,1329441,1386483,1433535
4000,Arizona,1904,        Private households,286937,308673,363584,390211
4000,Arizona,2000,    Government and government enterprises,20353418,20450131,20640367,20820143
4000,Arizona,2001,      Federal civilian,3788169,3898149,3862910,3781766
4000,Arizona,2002,      Military,1585831,1545343,1511491,1478722
4000,Arizona,2010,      State and local,14979418,15006639,15265966,15559655
4000,Arizona,2011,        State government,3448092,3587816,3665024,3792216
4000,Arizona,2012,        Local government,11531326,11418823,11600942,11767439
5000,Arkansas,50,Wages and salaries by place of work (thousands of dollars),44757777,46289381,47879652,48798769
5000,Arkansas,81,  Farm wages and salaries,238418,208301,264245,287081
5000,Arkansas,82,  Nonfarm wages and salaries,44519359,46081080,47615407,48511688
5000,Arkansas,90,    Private nonfarm wages and salaries,35588186,37028051,38504394,39312163
5000,Arkansas,100,"      Forestry, fishing, and related activities",251993,249139,262506,267460
5000,Arkansas,101,        Forestry and logging,88571,82249,(D),(D)
5000,Arkansas,102,"        Fishing, hunting and trapping",520,547,(D),(D)
5000,Arkansas,103,        Support activities for agriculture and forestry,162902,166343,175809,179037
5000,Arkansas,200,"      Mining, quarrying, and oil and gas extraction",549729,607911,586212,521059
5000,Arkansas,201,        Oil and gas extraction,111294,130664,150015,141049
5000,Arkansas,202,        Mining (except oil and gas),102666,108541,104094,96870
5000,Arkansas,203,        Support activities for mining,335769,368706,332103,283140
5000,Arkansas,300,      Utilities,523677,537224,591564,639838
5000,Arkansas,400,      Construction,2024492,1983245,2059319,1944492
5000,Arkansas,401,        Construction of buildings,424691,425353,451811,426554
5000,Arkansas,402,        Heavy and civil engineering construction,525607,476961,443875,370156
5000,Arkansas,403,        Specialty trade contractors,1074194,1080931,1163633,1147782
5000,Arkansas,500,      Manufacturing,6477159,6654658,6730214,6749689
5000,Arkansas,510,        Durable goods manufacturing,3298859,3451050,3505554,3522795
5000,Arkansas,511,          Wood product manufacturing,(D),(D),(D),356235
5000,Arkansas,512,          Nonmetallic mineral product manufacturing,143872,142252,148247,154846
5000,Arkansas,513,          Primary metal manufacturing,430384,520151,614143,620655
5000,Arkansas,514,          Fabricated metal product manufacturing,648199,625070,657371,671536
5000,Arkansas,515,          Machinery manufacturing,448967,494776,491768,482738
5000,Arkansas,516,          Computer and electronic product manufacturing,131009,131750,129888,149402
